full_name,city,abbr,nickname
Arizona Cardinals,Arizona,ARI,Cardinals
Atlanta Falcons,Atlanta,ATL,Falcons
Baltimore Ravens,Baltimore,BAL,Ravens
Buffalo Bills,Buffalo,BUF,Bills
Carolina Panthers,Carolina,CAR,Panthers
Chicago Bears,Chicago,CHI,Bears
Cincinnati Bengals,Cincinnati,CIN,Bengals
Cleveland Browns,Cleveland,CLE,Browns
Dallas Cowboys,Dallas,DAL,Cowboys
Denver Broncos,Denver,DEN,Broncos
Detroit Lions,Detroit,DET,Lions
Green Bay Packers,Green Bay,GB,Packers
Houston Texans,Houston,HOU,Texans
Indianapolis Colts,Indianapolis,IND,Colts
Jacksonville Jaguars,Jacksonville,JAX,Jaguars
Kansas City Chiefs,Kansas City,KC,Chiefs
Las Vegas Raiders,Las Vegas,LV,Raiders
Los Angeles Chargers,LA Chargers,LAC,Chargers
Los Angeles Rams,LA Rams,LAR,Rams
Miami Dolphins,Miami,MIA,Dolphins
Minnesota Vikings,Minnesota,MIN,Vikings
New England Patriots,New England,NE,Patriots
New Orleans Saints,New Orleans,NO,Saints
New York Giants,NY Giants,NYG,Giants
New York Jets,NY Jets,NYJ,Jets
Philadelphia Eagles,Philadelphia,PHI,Eagles
Pittsburgh Steelers,Pittsburgh,PIT,Steelers
San Francisco 49ers,San Francisco,SF,49ers
Seattle Seahawks,Seattle,SEA,Seahawks
Tampa Bay Buccaneers,Tampa Bay,TB,Buccaneers
Tennessee Titans,Tennessee,TEN,Titans
Washington Commanders,Washington,WAS,Commanders
