game_number,week,away_team,away_ml,away_spread,away_result,home_team,home_ml,home_spread,home_result,total_line,total_result
1,1,DAL,270,7,20,PHI,-340,-7,24,46.5,
2,1,KC,-170,-3,21,LAC,142,3,27,45.5,
3,1,ARI,-278,-5.5,20,NO,195,5.5,13,42.5,
4,1,TB,-125,-2.5,23,ATL,105,1.5,20,48.5,
5,1,CAR,130,3,10,JAX,-155,-3,26,45.5,
6,1,CIN,-265,-6,17,CLE,190,5.5,16,44.5,
7,1,MIA,-105,1.5,8,IND,-115,-1.5,33,46.5,
8,1,LV,142,3,20,NE,-170,-3,13,42.5,
9,1,NYG,235,6.5,6,WAS,-290,-6.5,21,45.5,
10,1,PIT,-148,-3,34,NYJ,124,3,32,38.5,
11,1,TEN,300,7.5,12,DEN,-395,-7.5,20,41.5,
12,1,SF,-142,-2.5,17,SEA,120,2.5,13,45.5,
13,1,DET,-108,1.5,13,GB,-112,-1.5,27,49.5,
14,1,HOU,120,2.5,9,LAR,-142,-2.5,14,44.5,
15,1,BAL,105,1.5,40,BUF,-125,-1.5,41,51.5,
16,1,MIN,-125,-1.5,27,CHI,105,1.5,24,43.5,
